@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
102,19,2,?,?
102,?,?,?,?
102,18,2,?,?
102,19,2,?,?
102,18,3,21,1
102,19,2,?,?
102,20,3,22,1
102,19,2,21,1
102,20,2,23,0
102,19,2,?,?
103,17,2,22,2
103,18,2,19,2
103,18,2,22,1
103,16,3,22,1
103,19,3,21,1
103,19,1,22,1
103,18,2,21,1
103,19,3,19,1
103,18,3,21,1
103,18,2,20,2
103,18,2,21,1
103,20,2,21,2
103,19,2,20,2
103,18,3,21,2
103,19,3,21,2
103,18,2,21,2
103,18,2,21,2
103,17,2,22,2
103,20,2,21,1
103,18,1,20,2
103,18,3,21,2
103,18,3,22,2
103,20,2,20,2
103,19,2,22,2
103,18,3,21,2
103,20,3,21,2
103,17,2,21,2
103,19,3,21,2
103,19,2,22,2
103,17,2,22,2
103,18,2,22,2
103,18,2,22,3
103,18,3,20,2
103,18,1,19,1
103,21,3,20,2
103,17,2,21,2
103,19,2,22,2
103,18,3,22,2
103,19,3,21,1
103,19,1,23,2
103,18,2,20,2
103,18,2,21,2
103,18,2,21,1
103,18,2,22,1
103,18,1,22,1
103,18,2,22,1
103,18,2,21,1
103,18,2,21,1
103,19,3,22,1
103,20,3,24,1
103,17,2,21,1
103,18,3,21,1
103,17,2,22,1
103,19,3,?,?
103,19,2,?,?
104,18,3,20,1
104,18,2,21,1
104,17,3,21,1
104,17,2,?,?
104,18,2,21,0
104,19,2,?,?
104,20,3,21,0
104,19,4,21,1
104,18,2,22,0
104,20,2,?,?
104,21,2,?,?
104,19,2,?,?
104,19,3,?,?
104,19,1,22,1
104,18,3,?,?
104,17,3,22,1
104,17,2,22,1
104,19,2,?,?
104,21,3,20,2
104,19,2,?,?
104,21,2,?,?
104,20,2,?,?
104,19,2,?,?
104,18,3,?,?
104,18,4,?,?
104,19,3,?,?
104,20,2,?,?
104,22,2,?,?
104,21,3,21,2
104,19,3,?,?
104,21,2,?,?
104,21,2,?,?
104,19,2,?,?
104,19,2,?,?
104,21,2,?,?
104,17,2,?,?
104,20,3,?,?
104,19,2,?,?
104,18,2,?,?
104,17,2,?,?
104,20,3,?,?
104,19,2,?,?
104,20,0,21,1
104,18,4,?,?
104,21,2,?,?
104,17,3,?,?
104,18,1,?,?
