@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
20,3,16,4,295,179,1.28,101
27,3,29,3,297,183,3.79,118
27,3,32,3,296,185,2.22,101
26,2,28,3,294,185,0.94,103
?,?,13,2,294,181,0.95,97
24,4,29,3,292,187,0.32,44
29,4,32,3,296,184,0.32,101
26,2,31,3,297,184,0.32,115
27,2,30,3,293,184,0.65,116
27,3,31,3,292,183,0,101
25,4,30,2,282,180,-0.64,60
30,3,30,3,286,183,-2.56,60
26,3,30,3,293,185,-2.97,60
26,3,25,4,306,181,0.65,8
27,3,28,4,314,183,0.95,8
25,4,25,5,315,186,0.96,8
27,3,27,3,317,186,2.53,103
28,2,32,3,325,184,2.53,97
29,3,29,3,325,182,1.9,114
27,4,28,3,317,181,1.59,99
24,3,28,2,310,178,0.96,105
25,2,27,3,306,180,1.28,108
24,6,24,4,305,181,1.31,97
29,2,30,2,303,180,0.33,115
29,3,31,2,296,178,-0.32,111
24,3,29,2,288,189,0,44
28,3,31,3,292,187,0.32,101
27,3,31,3,290,184,0.32,115
28,2,30,2,292,184,0,116
27,2,29,3,292,183,0.33,101
23,4,28,3,303,184,1.94,113
26,3,27,3,305,185,1.94,117
25,3,27,3,308,186,2.55,105
26,3,23,3,310,186,1.57,110
28,3,31,3,312,187,2.23,116
29,3,32,2,310,187,2.27,97
26,4,25,4,303,182,0.96,110
26,4,26,4,301,182,1.93,97
23,3,29,3,306,191,1.25,46
24,2,30,3,314,187,3.16,121
24,1,30,3,320,184,3.16,111
24,3,23,4,327,179,3.48,108
29,3,31,3,324,185,3.77,101
28,2,29,4,322,184,3.15,115
27,3,29,3,310,184,1.88,112
28,3,29,4,308,184,1.87,114
29,2,29,3,305,186,1.57,101
28,3,30,3,300,183,2.18,103
24,2,28,3,301,186,0.63,117
27,2,30,3,301,185,1.27,110
?,?,30,3,301,181,2.22,116
23,3,23,4,301,178,2.6,111
24,3,27,3,298,182,0.32,112
