@relation 5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,32,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,231,241}

@data
16,2,25,2,376,272,2.02,101
14,2,15,2,372,267,1.2,114
16,3,17,2,367,267,1.97,114
13,3,13,2,366,265,3.17,97
12,2,16,3,361,267,3.17,100
20,3,24,3,361,265,2,105
14,2,18,2,363,270,2.84,8
15,2,23,2,367,268,2.4,111
20,3,25,3,371,263,1.97,32
20,1,22,1,366,273,0.82,97
15,1,17,1,367,274,0.4,32
17,3,19,2,368,273,-1.18,108
22,1,26,2,374,272,1.18,111
20,1,27,2,373,272,0.79,32
19,2,25,2,375,272,0.4,97
16,2,25,2,372,274,0.8,99
18,2,24,2,371,272,0.4,99
17,1,22,1,368,269,2,105
21,1,25,1,371,271,1.19,100
20,1,26,2,372,274,0.79,101
18,2,26,2,372,272,0.4,110
19,2,26,2,371,272,-0.39,116
18,2,25,2,369,271,-0.39,97
16,3,23,1,368,269,0.41,108
20,3,24,2,364,264,2.78,32
18,2,24,2,384,268,1.18,121
19,2,25,1,388,265,1.19,32
17,1,21,1,390,264,2.33,97
15,3,23,1,388,265,2.33,32
20,2,24,1,388,266,2.37,108
15,2,23,1,388,266,2.42,97
17,2,22,1,386,266,1.96,32
18,1,23,1,382,268,1.58,108
17,1,23,1,380,267,0.8,105
16,2,24,2,379,261,1.59,98
15,2,17,3,374,263,0.4,114
18,3,22,1,373,269,-0.4,101
17,3,24,2,372,269,0.41,114
19,2,24,2,372,268,-0.4,116
18,2,25,2,375,270,0.41,97
20,2,26,2,381,267,2.8,100
16,3,25,3,378,264,2.78,32
18,3,21,3,361,268,3.13,8
17,2,20,2,364,271,2.8,44
18,3,21,3,366,269,4.26,32
17,3,21,1,364,269,3.17,108
22,2,24,1,370,268,0.79,111
20,1,24,2,371,268,0,100
20,1,24,1,372,265,1.19,32
18,4,21,4,367,262,2.33,8
20,4,23,3,369,263,1.17,115
18,3,25,2,370,264,1.18,32
17,2,19,2,362,271,2.4,100
20,1,21,1,361,270,2.05,111
19,2,23,1,363,267,0.8,115
17,2,23,1,364,267,0.4,32
19,2,21,1,367,267,0,103
18,2,22,1,370,266,-1.58,114
17,2,19,1,374,268,-0.79,97
20,2,24,1,380,266,-1.18,110
15,4,17,3,383,262,1.18,100
16,3,17,3,372,262,1.16,101
14,4,19,4,365,260,1.57,115
16,3,19,3,362,262,-0.78,32
19,2,18,2,366,270,0,102
18,2,23,1,370,267,1.2,97
17,2,23,1,371,267,-0.79,99
18,2,23,1,369,270,0,116
20,2,24,1,373,268,-0.39,111
21,2,26,2,372,270,1.57,114
20,2,27,2,370,269,0.8,101
14,2,18,2,365,263,1.19,115
14,2,17,2,360,262,1.59,32
15,3,18,3,362,264,1.94,100
15,3,19,3,366,263,3.08,101
17,1,16,2,371,269,2.74,32
18,2,17,1,374,269,1.91,108
23,2,18,1,374,270,2.3,97
21,1,26,2,373,269,1.96,32
19,2,25,2,364,272,2.33,118
22,2,27,2,368,271,2.35,105
21,1,27,2,370,270,1.97,100
18,2,18,1,369,268,1.17,97
17,4,24,3,365,267,1.96,32
21,2,26,2,373,269,1.93,114
17,2,16,3,373,270,2.72,101
14,1,16,1,370,268,2.8,97
16,3,19,2,363,265,1.56,108
19,2,24,2,369,269,3.13,32
17,3,20,2,369,270,3.17,121
19,2,25,2,374,268,1.96,32
15,2,24,2,373,266,1.56,100
13,2,19,2,365,264,2.76,101
14,3,19,2,358,263,5.14,108
20,2,25,1,362,268,3.2,32
19,2,25,2,365,267,1.21,97
19,2,25,1,370,264,0.8,114
19,1,24,1,369,264,0.41,116
20,2,25,1,369,263,1.59,101
17,3,21,3,359,260,3.17,32
19,1,10,1,375,296,2.37,99
18,1,12,1,372,290,2.78,114
19,1,11,1,371,290,0.77,101
19,3,18,3,372,289,3.39,111
21,3,26,2,369,287,-0.37,32
19,4,22,5,366,291,-1.1,113
19,4,24,2,365,294,0.74,117
11,1,14,1,364,299,1.59,101
18,1,11,1,367,301,2.33,32
17,1,14,2,369,298,2.68,116
16,1,11,2,375,297,3.52,101
18,1,17,1,374,299,3.06,110
18,1,16,1,374,299,4.65,100
17,1,14,1,371,298,3.85,114
15,1,11,1,368,296,2.3,101
12,1,11,1,366,297,2.64,115
21,3,13,4,369,292,2.6,109
21,4,18,4,370,295,4.02,111
20,5,20,3,372,293,4.75,8
23,4,21,7,373,295,-1.47,8
23,5,27,3,376,294,0.37,8
23,4,22,3,377,295,1.81,111
17,4,20,4,381,293,2.21,115
19,3,17,2,387,290,3.32,8
21,4,24,1,388,288,4.32,8
18,4,16,2,390,291,4.05,8
11,1,14,2,389,284,3.41,101
10,2,17,1,388,284,2.68,109
17,5,22,3,390,281,2.25,111
19,6,17,5,393,286,2.53,115
19,5,18,2,394,286,1.83,32
13,2,15,2,390,292,1.87,113
18,2,13,2,388,292,0,117
18,1,11,2,388,291,0.38,101
16,2,14,1,390,289,2.31,32
10,1,11,1,387,290,1.16,118
10,1,9,1,382,291,0.77,111
19,2,17,2,380,291,2.64,108
18,1,17,2,385,299,1.5,118
18,1,19,2,387,298,1.87,101
18,2,21,1,391,301,2.25,114
20,2,22,2,390,306,1.82,32
20,1,26,2,385,307,1.1,97
20,2,24,1,385,308,0.75,116
18,1,18,1,384,306,1.52,114
19,1,10,1,382,301,3.82,97
15,2,34,1,394,297,2.68,115
19,1,?,?,391,295,1.16,32
19,1,11,1,383,299,2.28,8
