@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,241}

@data
14,1,?,?,371,194,-1.08,100
21,4,24,3,381,196,-1.09,97
21,4,24,4,382,196,0,115
22,4,23,3,379,196,-1.44,97
21,3,24,3,380,195,-0.72,99
21,3,23,2,378,197,-1.82,97
22,4,23,2,375,196,-1.44,98
20,4,23,4,383,196,-2.55,97
22,4,23,4,384,198,-1.08,114
?,?,?,?,385,200,-1.86,97
21,4,23,3,388,197,-1.45,110
19,4,21,3,393,198,-1.47,99
20,3,21,3,394,199,-1.09,111
19,2,22,2,396,198,0,110
21,4,23,4,398,196,0,108
23,5,24,3,397,196,0.37,111
19,4,22,3,397,196,0.37,115
20,3,22,4,395,197,-0.73,115
20,4,22,4,391,196,-1.08,97
20,3,24,3,390,196,-2.19,113
19,4,22,3,391,197,-1.47,117
20,3,22,3,389,196,-0.36,101
19,4,22,3,391,197,-1.47,111
21,3,22,3,390,196,-1.08,115
19,4,24,1,394,195,-1.09,46
14,4,23,4,392,202,1.85,109
20,3,22,2,385,199,-1.45,97
19,4,22,3,382,199,-2.17,115
20,4,22,3,383,199,-2.88,44
19,4,21,3,382,199,-0.73,101
19,4,21,2,382,198,-2.9,97
19,4,21,3,381,198,-2.9,44
18,3,22,3,382,197,-2.53,99
18,3,21,3,380,196,-3.26,111
20,5,21,2,377,196,-1.81,110
19,4,21,3,374,195,-2.53,115
18,4,22,0,371,195,-3.26,117
17,5,20,2,366,195,-4.37,108
16,5,19,3,364,195,-6.23,116
18,5,21,3,365,195,-5.1,101
18,5,21,3,364,195,-4.7,109
18,5,19,2,364,196,-5.82,111
17,3,21,3,361,196,-7,115
18,4,21,3,362,194,-6.95,97
17,5,20,2,362,193,-6.95,117
17,4,21,2,361,192,-7.73,110
17,4,20,2,360,193,-7.05,97
15,4,21,2,360,193,-6.64,100
16,4,21,3,359,192,-6.64,105
16,4,19,2,359,192,-7,118
17,5,21,3,357,192,-8.15,105
15,4,18,2,358,193,-6.23,110
16,4,18,2,360,195,-6.23,111
13,4,18,2,380,207,-1.45,44
?,?,?,?,376,202,-3.65,115
16,4,20,2,371,200,-4.37,97
18,3,20,2,368,199,-5.46,99
17,5,21,2,357,200,-6.95,101
17,4,19,2,355,199,-5.9,114
16,4,18,2,355,200,-6.54,116
21,4,23,3,360,198,-7.67,111
17,5,25,2,360,199,-5.86,116
16,5,20,3,359,198,-8.03,101
?,?,?,?,356,197,-9.37,111
15,5,17,2,355,195,-6.59,105
14,4,17,2,355,194,-7.36,110
12,5,18,2,353,200,-8.13,116
?,?,?,?,351,199,-7.73,101
15,4,19,2,352,198,-6.59,114
15,4,18,3,353,196,-8.39,112
13,3,17,1,356,195,-6.64,114
14,4,17,2,362,195,-7.36,101
13,4,16,2,361,195,-6.27,116
13,3,17,1,358,195,-8.45,101
13,5,16,2,355,194,-8.39,100
15,4,17,3,352,194,-9.96,101
14,4,17,2,350,194,-8.03,115
14,4,16,2,352,195,-8.15,117
13,4,20,3,356,193,-8.51,101
14,4,16,3,358,193,-6.27,241
19,5,21,2,361,193,-6.59,115
14,3,18,1,368,210,-1.51,45
15,4,22,3,371,210,-1.49,45
14,2,16,3,374,205,-1.46,116
17,3,16,2,372,204,-1.8,97
14,3,16,2,370,205,-1.82,109
20,5,23,3,370,204,-2.2,98
20,4,23,3,372,204,-2.2,105
15,3,24,2,369,204,-1.89,101
?,?,?,?,367,204,-2.63,110
16,6,?,?,365,203,-3.7,101
16,5,23,3,366,205,-2.25,108
13,4,26,2,366,205,-3.45,115
15,6,15,3,363,202,-2.94,117
15,4,19,2,361,200,-4.07,101
12,5,16,2,362,201,-3.31,241
13,3,16,3,365,200,-2.59,111
12,4,14,1,364,200,-3.33,112
12,3,17,2,362,201,-3.33,114
13,3,17,2,356,202,-4.47,111
13,4,16,3,348,202,-5.99,99
10,4,15,2,333,201,-9,100
13,4,15,2,331,202,-9.44,101
11,5,14,2,332,203,-9.81,100
13,3,17,4,331,203,-11.19,101
15,6,21,2,340,206,-7.78,106
16,5,23,2,355,205,-7.1,117
15,3,23,1,363,207,-5.58,112
19,3,22,3,366,203,-4.84,105
15,5,24,1,365,204,-4.91,101
17,4,23,2,358,202,-4.1,116
11,4,17,3,353,200,-5.99,114
11,4,24,2,359,211,-4.95,44
16,5,?,?,364,207,-3.67,45
10,3,13,2,362,203,-3.7,45
14,4,20,2,365,207,-2.98,112
13,3,17,1,366,207,-2.98,97
?,?,?,?,361,205,-4.47,114
12,3,15,1,361,203,-4.8,97
17,5,24,2,364,207,-4.1,113
18,5,21,2,364,205,-3.35,117
19,4,23,2,365,202,-5.17,101
20,4,23,2,362,199,-4.07,110
21,4,22,3,366,199,-4.4,111
21,4,24,2,370,199,-3.7,115
20,5,22,3,374,197,-4.04,100
19,4,22,2,374,199,-3.33,105
18,4,21,2,373,198,-4.1,103
19,4,21,3,375,198,-3.67,97
21,4,24,2,375,197,-3.33,112
20,4,22,3,380,196,-4.07,111
20,3,22,3,384,197,-3.35,114
?,?,?,?,380,203,-3.09,113
17,4,24,2,373,206,-3.31,117
14,3,23,3,387,208,-0.37,101
21,3,22,3,385,203,-2.55,115
18,4,21,3,383,203,-0.73,101
20,3,22,3,382,201,-2.19,105
19,3,22,3,381,200,-2.61,114
20,4,21,3,379,200,-2.55,114
22,3,23,3,379,200,-3.26,105
21,4,23,2,380,200,-2.55,116
17,3,20,3,391,208,0,111
18,4,21,3,385,205,-3.35,116
18,4,20,3,388,203,-2.24,110
19,3,21,2,388,204,-2.96,116
17,3,20,3,388,202,-1.86,111
18,4,20,3,381,202,-2.96,102
19,4,21,2,380,199,-2.57,101
21,4,22,2,380,200,-2.96,98
21,4,23,2,380,198,-3.31,111
10,5,21,2,374,204,-4.16,97
20,4,22,2,381,198,-3.31,112
21,4,23,3,381,197,-3.33,111
19,4,23,3,381,198,-4.07,108
21,4,24,4,379,199,-4.77,111
15,4,23,3,376,208,-3.73,46
16,5,20,3,366,206,-6.73,115
18,5,20,3,365,205,-6.68,105
?,?,?,?,362,206,-7.64,101
17,5,15,2,361,206,-9,115
18,5,20,2,357,205,-8.87,116
13,5,17,3,357,204,-7.15,97
17,4,18,2,360,201,-7.42,113
16,5,21,2,359,201,-7.52,117
17,5,19,0,354,200,-8.51,101
17,5,19,2,351,201,-10.39,106
15,4,19,2,349,202,-10.03,111
16,5,16,1,348,202,-10.47,115
16,5,18,2,345,204,-11.55,111
14,5,19,3,340,204,-13.17,99
11,4,17,2,341,204,-12.72,111
13,4,17,2,342,202,-12.72,110
15,5,18,3,347,201,-11.72,109
15,5,18,3,349,201,-10.83,111
14,5,17,3,350,200,-10.17,116
14,4,18,2,354,200,-9.74,105
14,5,17,2,351,199,-9.74,118
17,5,19,3,350,201,-13.34,111
14,5,14,4,351,202,-11.07,100
14,2,18,2,351,200,-10.91,101
15,5,16,3,351,200,-10.47,97
13,6,17,2,352,200,-9.3,108
14,4,17,2,357,200,-9.96,103
17,5,22,3,359,203,-7.15,117
16,5,?,?,361,202,-7.81,110
14,5,16,2,354,200,-9,118
16,5,18,2,351,199,-8.63,111
12,4,19,3,346,200,-10.47,116
13,5,17,3,346,198,-8.63,111
