@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
10,2,14,2,309,221,1.41,108
13,2,14,2,309,221,1.39,111
15,1,17,2,312,222,0.94,115
15,2,16,2,316,222,0.47,100
13,1,16,1,314,220,0.47,111
15,2,17,1,314,221,0.47,115
14,2,15,1,315,220,0.93,103
12,2,15,2,322,218,1.41,114
13,2,19,2,321,219,0,97
13,2,17,1,314,221,0,110
14,2,17,2,315,222,0.94,100
15,1,15,1,321,220,0,101
15,2,16,2,322,222,0.94,115
13,2,16,2,317,222,0.47,102
15,1,15,1,319,222,0.94,97
14,2,18,2,323,221,1.88,99
13,2,14,1,320,221,1.86,116
13,1,14,2,315,219,1.85,111
13,2,17,2,315,222,0,114
15,1,16,2,322,222,0.93,101
15,1,15,2,327,222,2.39,115
13,2,16,2,318,223,1.88,100
14,1,18,2,322,224,1.42,101
10,2,15,1,313,224,1.86,108
13,2,18,2,318,224,0.93,97
12,2,19,2,318,223,1.86,118
14,1,14,2,315,224,1.39,105
14,2,18,2,318,225,0.94,100
16,1,17,2,325,224,2.35,97
14,2,16,2,320,223,1.4,114
15,1,17,2,319,223,1.41,101
11,2,15,2,325,223,2.79,97
14,2,15,1,319,224,2.33,108
13,1,14,1,316,225,2.76,121
15,1,19,2,316,227,2.33,100
14,2,16,2,320,224,2.35,101
12,2,16,2,312,223,3.2,108
15,2,15,1,322,224,1.9,97
12,1,15,2,324,221,0.95,114
14,1,15,1,321,221,1.42,116
14,1,17,2,323,222,1.42,101
10,2,14,2,313,222,0.93,46
14,2,16,2,337,249,-1.92,113
15,2,16,2,338,250,-2.4,113
15,2,15,2,339,250,-2.43,113
15,2,16,3,339,250,-1.92,113
15,1,15,2,339,250,-1.45,113
15,2,15,2,339,251,-1.94,113
15,2,17,2,339,250,-1.94,113
15,2,16,2,339,251,-2.43,113
14,2,15,2,340,250,-1.94,113
15,2,15,2,340,250,-1.94,113
15,2,15,2,340,250,-1.94,113
15,3,16,2,340,250,-1.94,113
15,2,17,3,340,250,-2.43,113
16,2,15,2,340,250,-0.96,113
14,3,16,2,340,251,-1.94,113
15,3,16,2,340,251,-1.92,113
15,2,16,2,340,251,-1.44,113
14,2,15,2,341,250,-1.96,113
15,2,16,2,340,251,-1.96,113
15,2,14,2,342,252,-1.45,113
16,3,16,2,341,251,-0.96,113
16,2,15,2,342,252,-0.97,113
14,2,15,2,342,251,-1.45,113
15,2,14,2,343,252,-0.48,113
15,2,15,2,342,251,-0.97,113
15,2,17,2,342,252,-1.45,113
14,2,16,2,342,252,-1.44,113
